"species" "tarsus.mm" "tail.mm" "wing.mm" "mass.g" "foraging" "location" "measureID"
"110" "Ptilinopus_magnificus" 35.72 171.32 228.02 360 "arboreal" "Australasia" "measureA"
"1403" "Treron_waalia" 21.5 106 173.9 259.5 "arboreal" "Africa" "measureB"
"67" "Geotrygon_violacea" 33.02 63.92 147.22 121.5 "terrestrial" "America" "measureA"
"613" "Geotrygon_lawrencii" 37.7 70.2 137.5 220 "terrestrial" "America" "measureB"
"172" "Columbina_cruziana" 15.32 26.42 84.02 47 "terrestrial" "America" "measureA"
"623" "Geotrygon_montana" 27.4 58.2 141.5 127.5 "terrestrial" "America" "measureB"
"1431" "Turtur_afer" 21.8 88.6 108.5 63.5 "terrestrial" "Africa" "measureB"
"1401" "Treron_waalia" 25.1 106.4 175.6 259.5 "arboreal" "Africa" "measureB"
"972" "Patagioenas_maculosa" 22.82 139.12 225.92 326.5 "terrestrial" "America" "measureA"
"1102" "Ptilinopus_magnificus" 31.32 172.32 223.22 360 "arboreal" "Australasia" "measureA"
"512" "Gallicolumba_xanthonura" 25.82 82.02 137.72 106 "arboreal" "Australasia" "measureA"
"1063" "Phaps_chalcoptera" 26.5 118.4 204.9 260 "terrestrial" "Australasia" "measureB"
"77" "Leptotila_plumbeiceps" 24.52 48.02 142.52 172 "terrestrial" "America" "measureA"
"1051" "Phapitreron_leucotis" 19.5 79.1 128.7 145 "arboreal" "Eurasia" "measureB"
"1152" "Ptilinopus_richardsii" 15.52 61.62 130.32 99 "arboreal" "Australasia" "measureA"
"871" "Metriopelia_ceciliae" 10.7 57.8 94.7 59 "terrestrial" "America" "measureB"
"88" "Metriopelia_melanoptera" 17.72 66.12 118.42 119 "terrestrial" "America" "measureA"
"103" "Petrophassa_albipennis" 17.42 101.92 136.02 141.5 "terrestrial" "Australasia" "measureA"
"1351" "Streptopelia_vinacea" 18.1 92 136.9 110.5 "terrestrial" "Africa" "measureB"
"1441" "Turtur_brehmeri" 28.5 101 133.5 112.5 "terrestrial" "Africa" "measureB"
"1221" "Streptopelia_capicola" 24.7 109.8 151.6 114 "terrestrial" "Africa" "measureB"
"46" "Gallicolumba_rubescens" 26.02 70.92 119.62 60 "terrestrial" "Australasia" "measureA"
"782" "Leptotila_rufaxilla" 29.42 73.42 136.62 149 "terrestrial" "America" "measureA"
"392" "Gallicolumba_erythroptera" 33.82 75.42 148.32 113.5 "terrestrial" "Australasia" "measureA"
"592" "Geotrygon_frenata" 44.12 53.02 150.92 301.5 "terrestrial" "America" "measureA"
"1262" "Streptopelia_hypopyrrha" 29.32 122.52 181.72 162 "terrestrial" "Africa" "measureA"
"49" "Gallicolumba_stairi" 34.32 93.42 151.32 171 "terrestrial" "Australasia" "measureA"
